estacionID,fecha,nivel
PRCVC,2022-06-15T00:00:00,38.050
PSNVC,2022-06-15T00:00:00,0.520
PTGVC,2022-06-15T00:00:00,104.940
SBTVC,2022-06-15T00:00:00,37.020
SJCVC,2022-06-15T00:00:00,37.490
SJEVC,2022-06-15T00:00:00,16.800
TMOVC,2022-06-15T00:00:00,6.020
TMPVC,2022-06-15T00:00:00,0.790
TOMVC,2022-06-15T00:00:00,1.050
TRRVC,2022-06-15T00:00:00,87.220
TXPVC,2022-06-15T00:00:00,0.900
VAZVC,2022-06-15T00:00:00,10.180
LFLZC,2022-06-15T00:00:00,1854.030
SFOZC,2022-06-15T00:00:00,0.340
B24215,2022-06-15T00:00:00,0.700
LMIGJ,2022-06-15T00:00:00,0.250
LMDGJ,2022-06-15T00:00:00,0.050
RSSMX,2022-06-15T00:00:00,0.670
